name,desc
001tir01363.daca.pv,WODA POWROTNA KOLEKTORA KZ13 [°C]
001fir01313.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ13 [m3/h]
001tir01365.daca.pv,WODA POWROTNA KOLEKTORA KZ15 [°C]
001fir01315.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ15 [m3/h]
001tir01362.daca.pv,WODA POWROTNA KOLEKTORA KZ12 [°C]
001fir01312.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ12 [m3/h]
001tir01361.daca.pv,WODA POWROTNA KOLEKTORA KZ11 [°C]
001fir01311.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ11 [m3/h]
001tir01360.daca.pv,WODA POWROTNA KOLEKTORA KZ10 [°C]
001fir01310.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ10 [m3/h]
001tir01359.daca.pv,WODA POWROTNA KOLEKTORA KZ9 [°C]
001fir01309.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ9 [m3/h]
001tir01358.daca.pv,WODA POWROTNA KOLEKTORA KZ8 [°C]
001fir01308.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ8 [m3/h]
001tir01357.daca.pv,WODA POWROTNA KOLEKTORA KZ7 [°C]
001fir01307.daca.pv,WODA CHŁODZĄCA DO KOLEKTOR KZ7 [m3/h]
037tix00254.daca.pv,TEMP. WODY ZASIL.OBIEG PZ [°C]
037tix00264.daca.pv,TEMP. WODY ZASIL.OBIEG PZ [°C]
001fcx00211.pv,REG NADAWY KONCENTRATU LIW1 [Mg/h]
001fcx00221.pv,REG NADAWY KONCENTRATU LIW2 [Mg/h]
001fcx00241.pv,REG PYL ZWROT LIW4 [Mg/h]
001fcx00231.pv,REG KONCENTRAT PRAZONY LIW3 [Mg/h]
001tix01079.daca.pv,TEMP.17 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01080.daca.pv,TEMP.18 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01081.daca.pv,TEMP.19 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01082.daca.pv,TEMP.20 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01083.daca.pv,TEMP.21 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01084.daca.pv,TEMP22 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01085.daca.pv,TEMP.23 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01086.daca.pv,TEMP.24 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01071.daca.pv,TEMP.9 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01072.daca.pv,TEMP.10 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01073.daca.pv,TEMP.11 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01074.daca.pv,TEMP.12 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01075.daca.pv,TEMP.13 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01076.daca.pv,TEMP.14 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01077.daca.pv,TEMP.15 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01078.daca.pv,TEMP.16 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01063.daca.pv,TEMP.1 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01064.daca.pv,TEMP.2 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01065.daca.pv,TEMP.3 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01066.daca.pv,TEMP.4 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01067.daca.pv,TEMP.5 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01068.daca.pv,TEMP.6 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01069.daca.pv,TEMP.7 POD 2 WARSTWĄ WYMURÓWKI [°C]
001tix01070.daca.pv,TEMP.8 POD 2 WARSTWĄ WYMURÓWKI [°C]
prob_corg,prob_corg [%]
prob_s,prob_s [%]
prob_fe,prob_fe [%]
prazonka_fe,Prażona mieszanina koncentratów HG1 - fe [%]
prazonka_s,Prażona mieszanina koncentratów HG1 - sog [%]
001uxm0rf01.daca.pv,WENT. RF01 ODCZ_ZAD OBROTÓW [%]
001uxm0rf02.daca.pv,WENT. RF02 ODCZ_ZAD OBROTÓW [%]
001uxm0rf03.daca.pv,WENT. RF03 ODCZ_ZAD OBROTÓW [%]
001nir0szr0.daca.pv,SUMARYCZNA MOC CIEPLNA ODEBRANA - CAŁKOWITA [MW]
001txi01153.daca.pv,TEMP. NA KOL.. KAN.1-34 [°C]
001txi01154.daca.pv,TEMP. NA KOL.. KAN.35-68 [°C]
